"table","dataset","n_items","n_participants","n_categories","n_responses","density","longitudinal","construct_type","ct_primary","affect_cog","item_format","measurement_tool","construct_name","doi","license","catband","stratum","eff_N","N_short"
"aa1_silvia_2023","item_response_warehouse",14,1071,5,14994,1,FALSE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Survey/questionnaire","Aesthetic Responsiveness Assessment","10.1037/aca0000348","CC BY 4.0","4-5","cognitive | 4-5",1071,TRUE
"ada_boredom_bieleke2022","item_response_warehouse",10,636,7,6360,1,FALSE,"Behavioral","Behavioral","other","Likert Scale/selected response","Survey/questionnaire","Dealing with Boredom Scale","10.1098/rsos.211998","CC BY 4.0","6-7","other | 6-7",636,TRUE
"algner2022_mimi16","item_response_warehouse_3",16,612,6,9792,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.3389/fpsyg.2022.809862","CC BY 4.0","6-7","untagged | 6-7",612,TRUE
"alsecypiamh_wu_2022_empathy","item_response_warehouse",7,7842,5,54894,1,FALSE,"Affective/mental health, Opinion/attitude","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Perce Empathy Scale","10.17605/osf.io/jqzbx","CC BY 4.0","4-5","affective/opinion | 4-5",2000,FALSE
"alsecypiamh_wu_2022_swemwbs","item_response_warehouse",7,7842,5,54894,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Short Warwick-Edinburgh Mental Wellbeing Scale","10.17605/osf.io/jqzbx","CC BY 4.0","4-5","affective/opinion | 4-5",2000,FALSE
"alsuhibani_2022_loc","item_response_warehouse_3",24,2570,6,61680,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Multidimensional Locus of Control Scale (MLCS)","10.1371/journal.pone.0259053","CC BY 4.0","6-7","affective/opinion | 6-7",2000,FALSE
"alsuhibani_2022_pads_s1","item_response_warehouse_3",10,449,5,4490,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Revised Paranoia and Deservedness Scale (PaDS-R)","10.1371/journal.pone.0259053","CC BY 4.0","4-5","affective/opinion | 4-5",449,TRUE
"alsyouf_2024_facilitating_conditions","item_response_warehouse_3",6,472,5,2832,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Facilitating conditions (UTAUT)","10.1371/journal.pone.0300657","CC BY 4.0","4-5","affective/opinion | 4-5",472,TRUE
"assessment_time_fournier_2025_pmpuq","item_response_warehouse_2",15,398,4,5970,1,FALSE,"Behavioral, Cognitive/educational","Behavioral","other","Likert Scale/selected response","Survey/questionnaire","Assessment Time - Problematic Mobile Use","10.17605/osf.io/6v5qb","CC BY 4.0","4-5","other | 4-5",398,TRUE
"assessment_time_fournier_2025_upps","item_response_warehouse_2",20,398,4,7960,1,FALSE,"Behavioral, Cognitive/educational","Behavioral","other","Likert Scale/selected response","Survey/questionnaire","Assessment Time - Impulsive Behavio","10.17605/osf.io/6v5qb","CC BY 4.0","4-5","other | 4-5",398,TRUE
"autism_blotner_2025_s2_aq","item_response_warehouse_2",10,535,4,5350,1,TRUE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Survey/questionnaire","Autism Quotient","10.1027/1614-0001/a000440","CC BY 4.0","4-5","cognitive | 4-5",535,TRUE
"autism_blotner_2025_s2_qcae","item_response_warehouse_2",31,535,4,16585,1,TRUE,"Cognitive/educational","Cognitive/educational","cognitive","Likert Scale/selected response","Survey/questionnaire","Cognitive and Affective Empathy","10.1027/1614-0001/a000440","CC BY 4.0","4-5","cognitive | 4-5",535,TRUE
"beh_boredom_bieleke2022","item_response_warehouse",19,636,6,12084,1,FALSE,"Behavioral","Behavioral","other","Likert Scale/selected response","Survey/questionnaire","Assessment of Adaptive and Maladaptive Behaviors in Response to Boredom","10.1098/rsos.211998","CC BY 4.0","6-7","other | 6-7",636,TRUE
"bfi_goldberg_1992_conscientiousness","item_response_warehouse",10,19719,5,197190,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Big Five Inventory: Conscientiousness","10.1037/1040-3590.4.1.26","CC BY 4.0","4-5","affective/opinion | 4-5",2000,FALSE
"bfi_goldberg_1992_openness_to_experience","item_response_warehouse",10,19719,5,197190,1,FALSE,"Personality","Personality","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Big Five Inventory: Openness to Experience","10.1037/1040-3590.4.1.26","CC BY 4.0","4-5","affective/opinion | 4-5",2000,FALSE
"bittencourt_2021_dfs2","item_response_warehouse_3",36,681,5,24516,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.1371/journal.pone.0253044","CC BY 4.0","4-5","untagged | 4-5",681,TRUE
"bscs_fadplus_goto2021","item_response_warehouse",13,802,5,10426,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Measure of Belief in Free Will and Determinism","10.3389/fpsyg.2021.720601","CC BY 4.0","4-5","affective/opinion | 4-5",802,TRUE
"burnout_assessment_tool_teachers","item_response_warehouse_2",33,631,5,20823,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Burnout Assessment Tool (BAT)","10.7910/dvn/nfrees","CC0 1.0","4-5","affective/opinion | 4-5",631,TRUE
"cdm_mentalhealth_tan_2023_bsi","item_response_warehouse",17,719,5,12223,1,FALSE,"Affective/mental health","Affective/mental health","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Brief Symptom Inventory (BSI)","10.1007/s11121-022-01346-8","CC BY 4.0","4-5","affective/opinion | 4-5",719,TRUE
"chen2022b_psychabuse","item_response_warehouse_3",14,417,5,5838,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.3389/fpsyg.2022.852256","CC BY 4.0","4-5","untagged | 4-5",417,TRUE
"chen2022b_socsupport","item_response_warehouse_3",12,417,7,5004,1,FALSE,NA,"[untagged]","untagged",NA,NA,NA,"10.3389/fpsyg.2022.852256","CC BY 4.0","6-7","untagged | 6-7",417,TRUE
"christiannationalism_davis2021","item_response_warehouse",6,1378,5,8268,1,FALSE,"Opinion/attitude","Opinion/attitude","affective/opinion","Likert Scale/selected response","Survey/questionnaire","Christian Nationalism Scale (Six-Item Index)","10.1017/s1755048322000256","CC0 1.0","4-5","affective/opinion | 4-5",1378,TRUE
