"table","replicate","seed","n_items","n_resp","n_resp_full","N_capped","OverallSD","OverallKurt","OverallRightKurt","VarColPC1","SkewColPC1","SkewColPC2","Skewness","Mean_Row_Corr","Row_Corr_Kurtosis","CorrRightKurt","Mean_Col_Kurtosis","Mean_SD_Ratio","PercentOut","intrinsicDemnsionalityProp","PercentOut_cells","OverallRightKurt_corrected","nrOut_raw","intrinsicDim_raw"
"ada_boredom_bieleke2022",1,101,10,630,630,FALSE,1.74535965828334,-0.779198038936453,-1.88606799913623,8.72679194184114,-0.596763759603329,0.614918268759272,-0.485220237788764,0.398585313228062,-0.255380356190851,-0.932880612846151,0.186649891482226,0.783243643105501,50,0.3,0.0365079365079365,-1.05609715840186,5,3
"ada_boredom_bieleke2022",2,202,10,630,630,FALSE,1.74535965828334,-0.779198038936453,-1.88606799913623,8.72679194184114,-0.596763759603329,0.614918268759272,-0.485220237788764,0.398585313228062,-0.255380356190851,-0.932880612846151,0.186649891482226,0.783243643105501,50,0.3,0.0365079365079365,-1.05609715840186,5,3
"ada_boredom_bieleke2022",3,303,10,630,630,FALSE,1.74535965828334,-0.779198038936453,-1.88606799913623,8.72679194184114,-0.596763759603329,0.614918268759272,-0.485220237788764,0.398585313228062,-0.255380356190851,-0.932880612846151,0.186649891482226,0.783243643105501,50,0.3,0.0365079365079365,-1.05609715840186,5,3
"algner2022_mimi16",2,202,16,606,606,FALSE,1.86470737592694,-1.43466508892611,-1.95420247334036,20.0085836347385,-0.0193953863134792,0.22053603186255,0.209612764992394,0.250995556233521,-0.0460228959898519,0.432105275140831,-0.830521107600633,0.915724642054736,6.25,0.25,0.0108292079207921,-1.52703602576888,1,4
"algner2022_mimi16",3,303,16,606,606,FALSE,1.86470737592694,-1.43466508892611,-1.95420247334036,20.0085836347385,-0.0193953863134792,0.22053603186255,0.209612764992394,0.250995556233521,-0.0460228959898519,0.432105275140831,-0.830521107600633,0.915724642054736,6.25,0.25,0.0108292079207921,-1.52703602576888,1,4
"alsuhibani_2022_pads_s1",1,101,10,430,430,FALSE,1.37074309683069,-1.32968348604144,-1.98646575644143,7.10931783851395,0.0264457324345696,-0.193616396309118,0.282308791007565,0.261334284008865,-0.328840445979715,-0.392700915963621,-0.468039152649068,0.905025359045437,20,0.3,0.0323255813953488,-0.846438969246362,2,3
"alsuhibani_2022_pads_s1",2,202,10,430,430,FALSE,1.37074309683069,-1.32968348604144,-1.98646575644143,7.10931783851395,0.0264457324345696,-0.193616396309118,0.282308791007565,0.261334284008865,-0.328840445979715,-0.392700915963621,-0.468039152649068,0.905025359045437,20,0.3,0.0323255813953488,-0.846438969246362,2,3
"alsuhibani_2022_pads_s1",3,303,10,430,430,FALSE,1.37074309683069,-1.32968348604144,-1.98646575644143,7.10931783851395,0.0264457324345696,-0.193616396309118,0.282308791007565,0.261334284008865,-0.328840445979715,-0.392700915963621,-0.468039152649068,0.905025359045437,20,0.3,0.0323255813953488,-0.846438969246362,2,3
"alsyouf_2024_facilitating_conditions",1,101,6,429,429,FALSE,1.08503195073471,-0.414180283795643,-2.00077443679816,3.51606596470514,-0.36918183849337,-0.215498511113278,-0.407627112487364,0.0393027278301271,-1.16927803482114,-1.12931146434344,-0.295932716707857,0.984193298509748,83.3333333333333,0.333333333333333,0.0439005439005439,-1.2699899158334,5,2
"alsyouf_2024_facilitating_conditions",2,202,6,429,429,FALSE,1.08503195073471,-0.414180283795643,-2.00077443679816,3.51606596470514,-0.36918183849337,-0.215498511113278,-0.407627112487364,0.0393027278301271,-1.16927803482114,-1.12931146434344,-0.295932716707857,0.984193298509748,83.3333333333333,0.333333333333333,0.0439005439005439,-1.2699899158334,5,2
