"table","replicate","seed","method","eta2"
"aa1_silvia_2023",1,101,"eJaccard",0.0644652291153864
"aa1_silvia_2023",1,101,"Podani",0.20196345643871
"aa1_silvia_2023",1,101,"Euclidean",0.0704792462500614
"aa1_silvia_2023",1,101,"Cosine",0.66671603338369
"aa1_silvia_2023",1,101,"eDice",0.0261941409127169
"aa1_silvia_2023",1,101,"Correlation",0.251137041968784
"aa1_silvia_2023",1,101,"ACE",0.18696682030486
"aa1_silvia_2023",1,101,"Original Relationality",0.102404813293281
"aa1_silvia_2023",1,101,"Recursive Relationality",0.224122546982041
"aa1_silvia_2023",1,101,"Ensemble",0.243574827112759
"aa1_silvia_2023",2,202,"eJaccard",0.0644652291153864
"aa1_silvia_2023",2,202,"Podani",0.197730945050438
"aa1_silvia_2023",2,202,"Euclidean",0.0705108029790752
"aa1_silvia_2023",2,202,"Cosine",0.66671603338369
"aa1_silvia_2023",2,202,"eDice",0.0399553893705548
"aa1_silvia_2023",2,202,"Correlation",0.250645955162712
"aa1_silvia_2023",2,202,"ACE",0.182565829766792
"aa1_silvia_2023",2,202,"Original Relationality",0.0399341348746434
"aa1_silvia_2023",2,202,"Recursive Relationality",0.164284361256712
"aa1_silvia_2023",2,202,"Ensemble",0.21413787135085
"aa1_silvia_2023",3,303,"eJaccard",0.0644652291153864
"aa1_silvia_2023",3,303,"Podani",0.20333004883795
"aa1_silvia_2023",3,303,"Euclidean",0.0679018421373854
"aa1_silvia_2023",3,303,"Cosine",0.66671603338369
"aa1_silvia_2023",3,303,"eDice",0.041318493859842
"aa1_silvia_2023",3,303,"Correlation",0.253997938233945
"aa1_silvia_2023",3,303,"ACE",0.165970015292533
"aa1_silvia_2023",3,303,"Original Relationality",0.0934230309344935
"aa1_silvia_2023",3,303,"Recursive Relationality",0.255874685770452
"aa1_silvia_2023",3,303,"Ensemble",0.246108518910195
"ada_boredom_bieleke2022",1,101,"eJaccard",0.350107463673746
"ada_boredom_bieleke2022",1,101,"Podani",0.237515155322851
"ada_boredom_bieleke2022",1,101,"Euclidean",0.11576179603874
"ada_boredom_bieleke2022",1,101,"Cosine",0.189935727382535
"ada_boredom_bieleke2022",1,101,"eDice",0.194005440620773
"ada_boredom_bieleke2022",1,101,"Correlation",0.0979870784361847
"ada_boredom_bieleke2022",1,101,"ACE",0.142370608352236
"ada_boredom_bieleke2022",1,101,"Original Relationality",0.0203699858114786
"ada_boredom_bieleke2022",1,101,"Recursive Relationality",0.481444946968858
"ada_boredom_bieleke2022",1,101,"Ensemble",0.157570172787754
"ada_boredom_bieleke2022",2,202,"eJaccard",0.353964138436101
"ada_boredom_bieleke2022",2,202,"Podani",0.249140765462209
"ada_boredom_bieleke2022",2,202,"Euclidean",0.114598414785993
"ada_boredom_bieleke2022",2,202,"Cosine",0.189209237206674
"ada_boredom_bieleke2022",2,202,"eDice",0.206960021913105
"ada_boredom_bieleke2022",2,202,"Correlation",0.126514963036513
"ada_boredom_bieleke2022",2,202,"ACE",0.0623299044646035
"ada_boredom_bieleke2022",2,202,"Original Relationality",0.0299445232340848
"ada_boredom_bieleke2022",2,202,"Recursive Relationality",0.467874496567077
"ada_boredom_bieleke2022",2,202,"Ensemble",0.107555738254518
"ada_boredom_bieleke2022",3,303,"eJaccard",0.345414003636542
"ada_boredom_bieleke2022",3,303,"Podani",0.242333016156441
"ada_boredom_bieleke2022",3,303,"Euclidean",0.11576179603874
"ada_boredom_bieleke2022",3,303,"Cosine",0.19422205597541
"ada_boredom_bieleke2022",3,303,"eDice",0.206960021913105
"ada_boredom_bieleke2022",3,303,"Correlation",0.0801609594210633
"ada_boredom_bieleke2022",3,303,"ACE",0.0871837782299567
"ada_boredom_bieleke2022",3,303,"Original Relationality",0.00505528059875337
"ada_boredom_bieleke2022",3,303,"Recursive Relationality",0.45610287790219
"ada_boredom_bieleke2022",3,303,"Ensemble",0.127467367469059
"algner2022_mimi16",1,101,"eJaccard",0.535039883699751
"algner2022_mimi16",1,101,"Podani",0.196898037337695
"algner2022_mimi16",1,101,"Euclidean",0.341649787354519
"algner2022_mimi16",1,101,"Cosine",0.635767059881795
"algner2022_mimi16",1,101,"eDice",0.0369449707033304
"algner2022_mimi16",1,101,"Correlation",0.316871416512333
"algner2022_mimi16",1,101,"ACE",0.277034388815862
"algner2022_mimi16",1,101,"Original Relationality",0.16263562938392
"algner2022_mimi16",1,101,"Recursive Relationality",0.207936456388796
"algner2022_mimi16",1,101,"Ensemble",0.350143453761212
"algner2022_mimi16",2,202,"eJaccard",0.380981075927953
"algner2022_mimi16",2,202,"Podani",0.209820991478767
"algner2022_mimi16",2,202,"Euclidean",0.358145348483238
"algner2022_mimi16",2,202,"Cosine",0.678683111658981
"algner2022_mimi16",2,202,"eDice",0.0373766979705717
"algner2022_mimi16",2,202,"Correlation",0.215909483166885
"algner2022_mimi16",2,202,"ACE",0.213587392905785
"algner2022_mimi16",2,202,"Original Relationality",0.140378989308819
"algner2022_mimi16",2,202,"Recursive Relationality",0.188913575617929
"algner2022_mimi16",2,202,"Ensemble",0.26797465040504
"algner2022_mimi16",3,303,"eJaccard",0.380981075927953
"algner2022_mimi16",3,303,"Podani",0.228340932568623
"algner2022_mimi16",3,303,"Euclidean",0.308884695630803
"algner2022_mimi16",3,303,"Cosine",0.678683111658981
"algner2022_mimi16",3,303,"eDice",0.0373766979705717
"algner2022_mimi16",3,303,"Correlation",0.257414198119931
"algner2022_mimi16",3,303,"ACE",0.293067424381407
"algner2022_mimi16",3,303,"Original Relationality",0.161067902806728
"algner2022_mimi16",3,303,"Recursive Relationality",0.171285999878264
"algner2022_mimi16",3,303,"Ensemble",0.268691631708916
"alsecypiamh_wu_2022_empathy",1,101,"eJaccard",0.157951345962076
"alsecypiamh_wu_2022_empathy",1,101,"Podani",0.263899991077149
"alsecypiamh_wu_2022_empathy",1,101,"Euclidean",0.156975784350405
"alsecypiamh_wu_2022_empathy",1,101,"Cosine",0.281168838187172
"alsecypiamh_wu_2022_empathy",1,101,"eDice",0.0645146449670995
"alsecypiamh_wu_2022_empathy",1,101,"Correlation",0.329217396264613
"alsecypiamh_wu_2022_empathy",1,101,"ACE",0.342543783315136
"alsecypiamh_wu_2022_empathy",1,101,"Original Relationality",0.151698352429303
"alsecypiamh_wu_2022_empathy",1,101,"Recursive Relationality",0.359108102130459
"alsecypiamh_wu_2022_empathy",1,101,"Ensemble",0.34675380879305
"alsecypiamh_wu_2022_empathy",2,202,"eJaccard",0.117983939947405
"alsecypiamh_wu_2022_empathy",2,202,"Podani",0.220952834836311
"alsecypiamh_wu_2022_empathy",2,202,"Euclidean",0.12870096009768
"alsecypiamh_wu_2022_empathy",2,202,"Cosine",0.262747738188405
"alsecypiamh_wu_2022_empathy",2,202,"eDice",0.066537825173068
"alsecypiamh_wu_2022_empathy",2,202,"Correlation",0.299263678362492
"alsecypiamh_wu_2022_empathy",2,202,"ACE",0.286773807235421
"alsecypiamh_wu_2022_empathy",2,202,"Original Relationality",0.114880365248831
"alsecypiamh_wu_2022_empathy",2,202,"Recursive Relationality",0.326501684278797
"alsecypiamh_wu_2022_empathy",2,202,"Ensemble",0.298088822037002
"alsecypiamh_wu_2022_empathy",3,303,"eJaccard",0.0398190860100175
"alsecypiamh_wu_2022_empathy",3,303,"Podani",0.182616087503303
"alsecypiamh_wu_2022_empathy",3,303,"Euclidean",0.138848474879565
"alsecypiamh_wu_2022_empathy",3,303,"Cosine",0.271143794483776
"alsecypiamh_wu_2022_empathy",3,303,"eDice",0.050985907980205
"alsecypiamh_wu_2022_empathy",3,303,"Correlation",0.303218701978353
"alsecypiamh_wu_2022_empathy",3,303,"ACE",0.304411224425908
"alsecypiamh_wu_2022_empathy",3,303,"Original Relationality",0.10284072537349
"alsecypiamh_wu_2022_empathy",3,303,"Recursive Relationality",0.371785012907271
"alsecypiamh_wu_2022_empathy",3,303,"Ensemble",0.250738108664931
"alsecypiamh_wu_2022_swemwbs",1,101,"eJaccard",0.263908587560802
"alsecypiamh_wu_2022_swemwbs",1,101,"Podani",0.0195511319173247
"alsecypiamh_wu_2022_swemwbs",1,101,"Euclidean",0.0924708162385624
"alsecypiamh_wu_2022_swemwbs",1,101,"Cosine",0.21293571022912
"alsecypiamh_wu_2022_swemwbs",1,101,"eDice",0.135362573399069
"alsecypiamh_wu_2022_swemwbs",1,101,"Correlation",0.0202839933400602
"alsecypiamh_wu_2022_swemwbs",1,101,"ACE",0.0263905583022911
"alsecypiamh_wu_2022_swemwbs",1,101,"Original Relationality",0.0202609743744752
"alsecypiamh_wu_2022_swemwbs",1,101,"Recursive Relationality",0.0144776381076364
"alsecypiamh_wu_2022_swemwbs",1,101,"Ensemble",0.0431845771466433
"alsecypiamh_wu_2022_swemwbs",2,202,"eJaccard",0.219728531449525
