"table","n_categories","n_unique","min_resp","max_resp","range_resp","range_consistent_across_items","pct_noninteger","resp_class","item_format","metadata_hint","bound_class","signals_agree","signals_conflict","construct_type","sample","measurement_tool","construct_name"
"tears",101,101,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Affective/mental health","Educational, ""Internet-based (Mturkers, etc)""","Observational rating","The Portsmouth Dynamic Spontaneous Tears Database"
"much_tte_2025_currentmotivation",101,101,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Cognitive/educational","""Internet-based (Mturkers, etc)""","Survey/questionnaire","Test-taking effort"
"klippel_irw",101,101,0,100,100,FALSE,0,"unclear","Slider/continuous","bounded","bounded",FALSE,FALSE,"Other","Targeted/specific","Observational rating","Perceived gender quality of singing voice"
"nas_rogoza_2024_study5_nas",101,101,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Personality, Opinion/attitude","General/non-specific","Survey/questionnaire","Narcissistic Antagonism Scale (NAS) — Diary Methodology"
"nas_rogoza_2024_study5_ngs",101,101,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Personality, Opinion/attitude","General/non-specific","Survey/questionnaire","Narcissistic Grandiosity Scale (NGS) — Daily Diary Assessment"
"nas_rogoza_2024_study5_nvs",101,101,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Personality, Opinion/attitude","General/non-specific","Survey/questionnaire","Narcissistic Antagonism Scale (NAS), Narcissistic Grandiosity Scale (NGS), and Narcissistic Vulnerability Scale (NVS) — Daily Life Assessment"
"emoji_scheffler_2024",101,101,0,100,100,TRUE,0,"bounded","Slider/continuous","bounded","bounded",TRUE,FALSE,"Cognitive/educational, Affective/mental health, Opinion/attitude","Non-human","Survey/questionnaire","valence, arousal, familiarity, clarity, and visual complexity."
"opentsstvr_linnig_2025_vas",101,101,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Cognitive/educational, Opinion/attitude","Educational","Survey/questionnaire","subjective perception of the VR environment (VAS)"
"test_taking_much_2025_cm",101,101,0,100,100,TRUE,0,"bounded","Mixed",NA,"bounded",FALSE,FALSE,"Cognitive/educational","""Internet-based (Mturkers, etc)""","Test","Current Motivation"
"ai_fear_dong_2026_ai",101,101,0,100,100,TRUE,0,"bounded","Slider/continuous","bounded","bounded",TRUE,FALSE,"Opinion/attitude","General/non-specific","Survey/questionnaire","AI Capability"
"ai_fear_dong_2026_requirement",101,101,0,100,100,TRUE,0,"bounded","Slider/continuous","bounded","bounded",TRUE,FALSE,"Opinion/attitude","General/non-specific","Survey/questionnaire","Trait Requirement"
"ai_fear_dong_2026_own_fear",101,101,0,100,100,TRUE,0,"bounded","Slider/continuous","bounded","bounded",TRUE,FALSE,"Opinion/attitude","General/non-specific","Survey/questionnaire","Own Fear Replacement"
"ai_fear_dong_2026_other_fear",101,101,0,100,100,TRUE,0,"bounded","Slider/continuous","bounded","bounded",TRUE,FALSE,"Opinion/attitude","General/non-specific","Survey/questionnaire","Other Fear Replacement"
"westhoff2023_stopd",101,101,0,100,100,TRUE,0,"bounded",NA,NA,"bounded",FALSE,FALSE,NA,NA,NA,NA
"westhoff2023_pbat",101,101,0,100,100,TRUE,0,"bounded",NA,NA,"bounded",FALSE,FALSE,NA,NA,NA,NA
"ehealth_rioux_2025_triplep",93,93,0,100,100,FALSE,0,"unclear","Slider/continuous","bounded","bounded",FALSE,FALSE,"Opinion/attitude","Targeted/specific","Survey/questionnaire","Positive Parenting Program"
"ehealth_rioux_2025_beam",93,93,0,100,100,FALSE,0,"unclear","Slider/continuous","bounded","bounded",FALSE,FALSE,"Opinion/attitude","Targeted/specific","Survey/questionnaire","Building Emotional Awareness and Mental Health"
"ehealth_rioux_2025_abiliti",91,91,0,100,100,FALSE,0,"unclear","Slider/continuous","bounded","bounded",FALSE,FALSE,"Opinion/attitude","Targeted/specific","Survey/questionnaire","Questions on AbilitiCBT"
"lsbq_maleki_2025_non_persian_proficiency",89,89,0,10,10,TRUE,0.407965554359526,"bounded","Slider/continuous","bounded","bounded",TRUE,FALSE,"Cognitive/educational","Representative","Survey/questionnaire","Non Persian Proficiency"
"eammi_grahe_2018_marriage_identity_allocation",69,69,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Opinion/attitude","General/non-specific","Survey/questionnaire","Marital Central Identity"
"gilbert_meta_95",63,63,0,10,10,TRUE,0.0942028985507246,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Cognitive/educational","Educational","Test","Key Features Questions (KFQ)"
"thomeczek2025_les",20,20,1,20,19,TRUE,0,"unclear","Slider/continuous","bounded","bounded",FALSE,FALSE,"Opinion/attitude","Targeted/specific, Educational, Non-human","Survey/questionnaire","Party Positions"
"double_marking_steele_2022",18,18,0,100,100,TRUE,0,"bounded","Likert Scale/selected response",NA,"bounded",FALSE,FALSE,"Cognitive/educational","""Internet-based (Mturkers, etc)""","Observational rating","The Value of Double Marking in Dissertation Assessment"
"mclaughlin_samuel_2025_auditory_session_1",18,18,1.5,10,8.5,TRUE,0.394422310756972,"unclear","Slider/continuous","bounded","bounded",FALSE,FALSE,"Cognitive/educational","""Internet-based (Mturkers, etc)""","Test","Assessing Sandwich Builder as a measure of auditory short-term memory"
"DEMOS",2876,2876,0,1121.863,1121.863,FALSE,0.97728978978979,"unbounded",NA,NA,"unbounded",FALSE,FALSE,NA,NA,NA,NA
"det_naismith_2023",1152,1152,-3.37801248251486,6,9.37801248251486,TRUE,0.333333333333333,"unclear","Constructed Response","unbounded","unbounded",FALSE,FALSE,"Cognitive/educational, Opinion/attitude","General/non-specific, ""Internet-based (Mturkers, etc)""","Test","Certified DET for Independent Writing"
"figure_skating",1103,1103,0,20.33,20.33,FALSE,0.949906833643888,"unbounded","Constructed Response","unbounded","unbounded",TRUE,FALSE,"Behavioral","General/non-specific","Test","ISU Figure Skating Judges' Aspect Scores Dataset"
"vollbracht_et_al_2026_ambulatory_assessment",151,151,-50,100,150,FALSE,0,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Affective/mental health","General/non-specific","Survey/questionnaire","Psychometric properties in ambulatory assessment"
"chile_2023_social-welfare-survey_yy",149,149,1,1.4e+07,13999999,FALSE,0,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Opinion/attitude","""Internet-based (Mturkers, etc)"", General/non-specific, Representative","Survey/questionnaire","CASEN Income"
"chile_2023_social-welfare-survey_u",134,134,0,1440,1440,FALSE,0,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Opinion/attitude","""Internet-based (Mturkers, etc)"", General/non-specific, Representative","Survey/questionnaire","CASEN Use of Time"
"cognitive_load_klimova_2023_know",81,81,1,1000,999,FALSE,0,"unbounded","Constructed Response","unbounded","unbounded",TRUE,FALSE,"Cognitive/educational","Educational","Test","Task Knowledge"
"simsalRbim_Mice_LargeValence",78,78,0,87,87,FALSE,0,"unbounded",NA,NA,"unbounded",FALSE,FALSE,NA,NA,NA,NA
"simsalRbim_Monkey_LargeValence",77,77,0,500,500,FALSE,0,"unbounded",NA,NA,"unbounded",FALSE,FALSE,NA,NA,NA,NA
"mclaughlin_samuel_2025_auditory_session_2",76,76,0,100,100,FALSE,0.00559174497031187,"unclear","Constructed Response","unbounded","unbounded",FALSE,FALSE,"Cognitive/educational","""Internet-based (Mturkers, etc)""","Test","Assessing Sandwich Builder as a measure of auditory short-term memory and Auditory speech perception test (speech transcription accuracy)"
"chile_2023_children-adolescents-survey_cp_c",71,71,0,89.5,89.5,FALSE,0.0266664324844761,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Opinion/attitude","Representative, Targeted/specific","Survey/questionnaire","Cuidador Principal"
"uti_newlands_2023_wpai",53,53,0,72,72,FALSE,0.0102827763496144,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Physical health/functioning","""Internet-based (Mturkers, etc)""","Survey/questionnaire","Work Productivity & Activity Impairment"
"florida_twins_par",39,39,0,25,25,FALSE,0.00492309672437094,"unbounded","Likert Scale/selected response",NA,"unbounded",FALSE,FALSE,"Developmental, Behavioral, Opinion/attitude","General/non-specific","Survey/questionnaire","My parents Scale"
"chile_2023_social-welfare-survey_rr",32,32,0,130,130,FALSE,0,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Opinion/attitude","""Internet-based (Mturkers, etc)"", General/non-specific, Representative","Survey/questionnaire","CASEN Social Relationships"
"contreras_valdez_2022_edeq",31,31,0,50,50,FALSE,0,"unbounded",NA,NA,"unbounded",FALSE,FALSE,NA,NA,NA,NA
"opladen2025_edeq",28,28,0,112,112,FALSE,0,"unbounded",NA,NA,"unbounded",FALSE,FALSE,NA,NA,NA,NA
"chile_2023_social-welfare-survey_ss",22,22,0,30,30,FALSE,0,"unbounded","Mixed",NA,"unbounded",FALSE,FALSE,"Opinion/attitude","""Internet-based (Mturkers, etc)"", General/non-specific, Representative","Survey/questionnaire","CASEN Health"
"piterova-slovak-science-related-populism",12,12,0,98,98,FALSE,0,"unbounded",NA,NA,"unbounded",FALSE,FALSE,NA,NA,NA,NA
"realpic_souza2021",968,968,1.5625,7,5.4375,TRUE,0.962128475551294,"unclear","Likert Scale/selected response",NA,"unclear",FALSE,FALSE,"Cognitive/educational, Opinion/attitude","General/non-specific","Survey/questionnaire","RealPic: Picture Norms of Common Real-World Items"
"yu2025",572,572,0.1,200,199.9,TRUE,0.379619443425824,"unclear","Mixed",NA,"unclear",FALSE,FALSE,"Cognitive/educational","""Internet-based (Mturkers, etc)""","Test","Perceptual response variability in size estimation and reproduction"
"estcrm_selfeff",161,161,0.75,11,10.25,FALSE,0.941693811074919,"unbounded","Slider/continuous","bounded","unclear",FALSE,TRUE,"Affective/mental health","Educational","Survey/questionnaire","Teaching self-efficacy scale"
"estcrm_epia",111,111,1,111,110,TRUE,0,"unclear","Likert Scale/selected response",NA,"unclear",FALSE,FALSE,"Cognitive/educational","General/non-specific","Survey/questionnaire","Eysenck Personality Inventory – Impulsivity Subscale"
"climatechange_geiger_2025",101,101,0,100,100,FALSE,0,"unclear","Mixed",NA,"unclear",FALSE,FALSE,"Opinion/attitude","""Internet-based (Mturkers, etc)""","Survey/questionnaire","Pluralistic Ignorance (Climate Change)"
"wine_luckett2021",100,100,0,100,100,FALSE,0,"unclear","Mixed",NA,"unclear",FALSE,FALSE,"Cognitive/educational, Behavioral","Targeted/specific","Observational rating","Discrimination of Complex Odor Mixtures: A Study Using Wine Aroma Models"
"deception_professors",83,83,0,100,100,FALSE,0,"unclear","Mixed",NA,"unclear",FALSE,FALSE,"Opinion/attitude","Educational, Targeted/specific","Survey/questionnaire","The Importance of Being Honest"
"deception_game",79,79,0,100,100,FALSE,0,"unclear","Likert Scale/selected response",NA,"unclear",FALSE,FALSE,"Affective/mental health, Opinion/attitude","General/non-specific","Survey/questionnaire","Feelings of Deception After Economic Game Participation"
"lsbq_maleki_2025_persian_comprehension",59,59,0.8,75,74.2,FALSE,0.275181723779855,"unbounded","Slider/continuous","bounded","unclear",FALSE,TRUE,"Cognitive/educational","Representative","Survey/questionnaire","Persian Comperehension"
"simsalRbim_Mice_LowValence",33,33,0,35,35,TRUE,0,"unclear",NA,NA,"unclear",FALSE,FALSE,NA,NA,NA,NA
"immer12_immer",29,29,29,58,29,TRUE,0,"unclear","Likert Scale/selected response",NA,"unclear",FALSE,FALSE,"Opinion/attitude","Program-based",NA,"Ratings of 2002 olympics pairs figure skating"
"identity_fusion_gomez_2025",27,27,0,6,6,TRUE,0.000448510943667025,"unclear","Mixed",NA,"unclear",FALSE,FALSE,"Opinion/attitude","""Internet-based (Mturkers, etc)"", Targeted/specific","Survey/questionnaire","Identity Fusion, Perceived Self-verification and Willingness to fight and die"
"eammi_grahe_2018_marriage_timing",15,15,10,26,16,TRUE,0,"unclear","Likert Scale/selected response",NA,"unclear",FALSE,FALSE,"Opinion/attitude","General/non-specific","Survey/questionnaire","Ideal Marital Timing"
