Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date,BibTex
16_personalityfactors,16_personalityfactors,Personality assessment,http://openpsychometrics.org/_rawdata/,Catell's 16 Personality Factors Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/16PF.zip,,,Public,CC BY 4.0,,LCM,,"@misc{16PF,
  title = {Catell's 16 Personality Factors Test [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/16PF.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
4thgrade_math_sirt,4thgrade_math_sirt,Data from a 4th grade math test of German students.,https://cran.r-project.org/web/packages/sirt/index.html,"Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,,"@Manual{Robitzsch2022,
  title = {sirt: Supplementary Item Response Theory Models},
  author = {Alexander Robitzsch},
  year = {2022},
  note = {R package version 3.12-66},
  url = {https://CRAN.R-project.org/package=sirt}
}"
abortion,abortion,Attitudes on abortion,https://cran.r-project.org/web/packages/ltm/index.html,"McGrath, K. and Waterton, J. (1986) British social attitudes, 1983-86 panel survey. London: SCPR.",,GPL-2 | GPL-3,Public,GPL-3,Data modified from original on 1-25-2023,BD,,"@book{mcgrath1986british,
  title={British social attitudes, 1983-86 panel survey},
  author={McGrath, K. and Waterton, J.},
  year={1986},
  publisher={SCPR},
  address={London},
  url={https://cran.r-project.org/web/packages/ltm/index.html}
}"
acl_mokken,acl_mokken,Data from the ajective check list,https://cran.r-project.org/web/packages/mokken/index.html,"Gough, H. G., & Heilbrun,A. B. (1980) The Adjective Check List, Manual 1980 Edition. Consulting Psychologists Press.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,,"@book{gough1980adjective,
  title={The Adjective Check List, Manual 1980 Edition},
  author={Gough, Harrison G. and Heilbrun, Alfred B.},
  year={1980},
  publisher={Consulting Psychologists Press},
  url={https://cran.r-project.org/web/packages/mokken/index.html}
}"
anxiety_lordif,anxiety_lordif,Reports for PROMIS anxiety measure,https://cran.r-project.org/web/packages/lordif/index.html,"PROMIS Cooperative Group. Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1. October, 2008: http://www.nihpromis.org",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 5-8-2023,BD,,"@manual{promis2008,
  title = {Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1},
  author = {{PROMIS Cooperative Group}},
  year = {2008},
  month = {October},
  url = {http://www.nihpromis.org},
  note = {Available at: https://cran.r-project.org/web/packages/lordif/index.html}
}"
approaches_to_text_study1,approaches_to_text_study1,"Item responses for study 1 of the Approaches to Text Questionnaire wherein participants completed survey items to the 87-item TReAT-Q, need for cognition, and a subset of questions from the adult reading history questionnaire",https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79,"Calloway RC, Helder A, Perfetti CA. Study 1 TReATQ, RH, NFC Raw Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",,,,,,LCM,,"@dataset{calloway_study_2023,
  author = {Calloway, Regina C. and Helder, Anne and Perfetti, Charles A.},
  title = {Study 1 {TReATQ}, {RH}, {NFC} Raw Data from 'A measure of individual differences in readers\' approaches to text and its relation to reading experience and reading comprehension'},
  year = {2023},
  publisher = {OSF},
  journal = {Behavior Research Methods},
  volume = {55},
  number = {2},
  pages = {899--931},
  url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79}
}"
approaches_to_text_study2,approaches_to_text_study2,"Item responses for study 2 of Approaches to Text wherein participants completed a host of surveys, which collected items on participants' comprehension, vocabulary, reading history, author recognition, etc",https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80,"Calloway RC, Helder A, Perfetti CA. Study 2 Data [data set] from ""A measure of individual differences in readers' approaches to text and its relation to reading experience and reading comprehension"". Behav Res Methods. 2023 Feb;55(2):899-931. https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79",,,,,,LCM,,"@dataset{calloway_study2_2023,
  author = {Calloway, Regina C. and Helder, Anne and Perfetti, Charles A.},
  title = {Study 2 Data from 'A measure of individual differences in readers\' approaches to text and its relation to reading experience and reading comprehension'},
  year = {2023},
  publisher = {OSF},
  journal = {Behavior Research Methods},
  volume = {55},
  number = {2},
  pages = {899--931},
  url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80},
  type = {dataset}
}"
artistic_preferences,artistic_preferences,Data on individual differences in what people enjoy about visual art,http://openpsychometrics.org/_rawdata/,Artistic Preferences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/APS_data.zip,,Copyright: CC BY-NC-SA 4.0,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,,"@misc{APS_dataset,
  title = {Artistic Preferences Scale [dataset and codebook]},
  howpublished = {\\url{http://openpsychometrics.org/_rawdata/APS_data.zip}},
  note = {Accessed via http://openpsychometrics.org/_rawdata/},
  year = {n.d.}
}"
assistments_0910,assistments_0910,Response data for skill-building and non-skill-building items from ASSISTments. Data from SY 2009-10,https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data,,,,,,,LCM,,"@misc{assistments2010,
  title = {2009-2010 {ASSISTment} Data},
  year = {2010},
  url = {https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data},
  howpublished = {\\url{https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data}},
  organization = {ASSISTments}
}"
assistments_1213,assistments_1213,Response data for items from ASSISTments. Data from SY 2012-13,https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect,,,,,,,LCM,,"@misc{assistments_2012,
  title={2012-13 School Data with Affect},
  author={{ASSISTments}},
  year={2012},
  howpublished={\\url{https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect}},
  note={Accessed through ASSISTments Data}
}"
