Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date
16_personalityfactors,16_personalityfactors,Personality assessment,http://openpsychometrics.org/_rawdata/,Catell's 16 Personality Factors Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/16PF.zip,,,Public,CC BY 4.0,,LCM,
4thgrade_math_sirt,4thgrade_math_sirt,Data from a 4th grade math test of German students.,https://cran.r-project.org/web/packages/sirt/index.html,"Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 1-29-2023,BD,
",10.1037/a0022874,CC BY 3.0,Public,CC BY 4.0,Data modified from original on 4-4-2023. Original data license at: https://creativecommons.org/licenses/by/3.0/,LCM,
abortion,abortion,Attitudes on abortion,https://cran.r-project.org/web/packages/ltm/index.html,"McGrath, K. and Waterton, J. (1986) British social attitudes, 1983-86 panel survey. London: SCPR.",,GPL-2 | GPL-3,Public,GPL-3,Data modified from original on 1-25-2023,BD,
acl_mokken,acl_mokken,Data from the ajective check list,https://cran.r-project.org/web/packages/mokken/index.html,"Gough, H. G., & Heilbrun,A. B. (1980) The Adjective Check List, Manual 1980 Edition. Consulting Psychologists Press.",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
american_multiracial_face,american_multiracial_face,Participants rate photos of smiling and neutral faces of mix-heritage people based on different measures ,https://osf.io/qsdrp/,"Chen, J.M., Norman, J.B. & Nam, Y. Broadening the stimulus set: Introducing the American Multiracial Faces Database. Behav Res (2020). https://doi.org/10.3758/s13428-020-01447-8",10.3758/s13428-020-01447-8,CC-By Attribution 4.0 International,Public,CC BY 4.0,Data have been modified. Original data license at: https://creativecommons.org/licenses/by/4.0/,LCM,
andrich_mudfold,andrich_mudfold,Attitudes about capital punishment,https://cran.r-project.org/web/packages/mudfold/index.html,"Andrich, D. (1988). The application of an unfolding model of the PIRT type to the measurement of attitude. Applied psychological measurement, 12(1), 33-51.",10.1177/014662168801200104,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-13-2023,BD,
anxiety_lordif,anxiety_lordif,Reports for PROMIS anxiety measure,https://cran.r-project.org/web/packages/lordif/index.html,"PROMIS Cooperative Group. Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1. October, 2008: http://www.nihpromis.org",,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 5-8-2023,BD,
art,art,Data from the author recognition test,https://osf.io/xacbt/?view_only=c2151ae633924b0993ae0bebf7e0a074,"McCarron, S.P., Kuperman, V. Is the author recognition test a useful metric for native and non-native English speakers? An item response theory analysis. Behav Res 53, 2226–2237 (2021). https://doi.org/10.3758/s13428-021-01556-y",10.3758/s13428-021-01556-y,CC-By Attribution 4.0 International,Public,CC BY 4.0,Data have been modified. Original data license at: https://creativecommons.org/licenses/by/4.0/,BD,
artistic_preferences,artistic_preferences,Data on individual differences in what people enjoy about visual art,http://openpsychometrics.org/_rawdata/,Artistic Preferences Scale [dataset and codebook]. http://openpsychometrics.org/_rawdata/APS_data.zip,,Copyright: CC BY-NC-SA 4.0,Public,CC-BY-NC-SA 4.0,Data modified from original on 4-27-2023. Cannot be used for any commercial purpose. Original license: https://creativecommons.org/licenses/by-nc-sa/4.0/,LCM,
autonomysupport_mokken,autonomysupport_mokken,Autonomy support ratings of teachers by students,https://cran.r-project.org/web/packages/mokken/index.html,"Koopman, L., Zijlstra, B. J., & van der Ark, L. A. (2020). Standard errors of two‐level scalability coefficients. British Journal of Mathematical and Statistical Psychology, 73(2), 213-236.",10.1111/bmsp.12174,GPL-2 | GPL-3 ,Public,GPL-3,Data modified from original on 2-7-2023,BD,
