# Tables with an open data defect. Each still gets a page, with a banner naming
# the issue, and is kept out of search until the fix is released.
# Delete the row in the PR that RELEASES the fix (a merged fix is not a shipped
# table). Measured against the live corpus 2026-09-19 (#1856 scoreboard).
table	issue
number_pattern_game	1856
pact_project	1856
Veterans_Affairs_SSVF_Survey_2016-17	1856
non_parametric_mixture_modeling_exp1_Cleaned	1856
stress_deboeck2012	1856
selfcompassionscale_shortform_fuochi_2025	1856
PROMISPME_Forrest_2021_LS_Proxy	1856
PROMISPME_Forrest_2021_MP_Proxy	1856
PROMISPME_Forrest_2021_Physical_Proxy	1856
PROMISPME_Forrest_2021_Strength_Proxy	1856
realpic_souza2021	1856
