feature,set,n,irw_IQR,irw_range,t9_IQR,t9_range,IQRvsRANGE,IQRvsIQR,RANGEvsRANGE
OverallKurt,all29,29,0.8209137765299623,8.471701606394273,0.6950000000000001,2.3,FALSE,TRUE,TRUE
OverallRightKurt,all29,29,0.11983733733690438,0.9017314401520227,0.30099999999999993,1.061,FALSE,FALSE,FALSE
OverallSD,all29,29,0.7557771665575346,26.514878389514855,0.5290000000000001,1.597,FALSE,TRUE,TRUE
Skewness,all29,29,0.3954726404703161,3.741256808601666,0.547,1.312,FALSE,FALSE,TRUE
VarColPC1,all29,29,17.35412791777284,2140.8033116612446,5.685,46.654,FALSE,TRUE,TRUE
SkewColPC1,all29,29,0.46556474811087817,2.6779985947398686,0.603,1.629,FALSE,FALSE,TRUE
SkewColPC2,all29,29,0.3400068451815993,1.2663725403774695,0.522,2.063,FALSE,FALSE,FALSE
Mean_Row_Corr,all29,29,0.1681290929743938,0.653716170299437,0.22300000000000003,0.564,FALSE,FALSE,TRUE
Row_Corr_Kurtosis,all29,29,0.5507148507725281,2.4043706612501268,0.735,3.939,FALSE,FALSE,FALSE
CorrRightKurt,all29,29,0.7042183188660589,11.450439646043352,0.6619999999999999,2.6719999999999997,FALSE,TRUE,TRUE
Mean_Col_Kurtosis,all29,29,0.84991090877307085,8.663859663867983,0.412,3.607,FALSE,TRUE,TRUE
Mean_SD_Ratio,all29,29,0.07064157083416589,0.45552989409566713,0.08200000000000007,0.43599999999999994,FALSE,FALSE,TRUE
intrinsicDemnsionalityProp,all29,29,0.09649122807017543,0.3888888888888889,0.11599999999999999,0.37099999999999994,FALSE,FALSE,TRUE
