feature,IQR_N5000,IQR_N2000,pct_change,t9_IQR,pass_N5000,pass_N2000,flipped
OverallKurt,0.8209137765299623,0.809517560563505,-1.3882354386388347,0.6950000000000001,TRUE,TRUE,FALSE
OverallRightKurt,0.11983733733690438,0.11983733733690438,0,0.30099999999999993,FALSE,FALSE,FALSE
OverallSD,0.7557771665575346,0.7491573926445716,-0.8758896412702142,0.5290000000000001,TRUE,TRUE,FALSE
Skewness,0.3954726404703161,0.3899388960864288,-1.3992736330144884,0.547,FALSE,FALSE,FALSE
VarColPC1,17.35412791777284,17.35412791777284,0,5.685,TRUE,TRUE,FALSE
SkewColPC1,0.46556474811087817,0.5560137268388424,19.427797979760932,0.603,FALSE,FALSE,FALSE
SkewColPC2,0.3400068451815993,0.31529497577256665,-7.26805055816859,0.522,FALSE,FALSE,FALSE
Mean_Row_Corr,0.1681290929743938,0.1681290929743938,0,0.22300000000000003,FALSE,FALSE,FALSE
Row_Corr_Kurtosis,0.5507148507725281,0.5507148507725281,0,0.735,FALSE,FALSE,FALSE
CorrRightKurt,0.7042183188660589,0.8405699981151806,19.36213182705569,0.6619999999999999,TRUE,TRUE,FALSE
Mean_Col_Kurtosis,0.84991090877307085,0.913294257975826,7.45764627191986,0.412,TRUE,TRUE,FALSE
Mean_SD_Ratio,0.07064157083416589,0.07064157083416589,0,0.08200000000000007,FALSE,FALSE,FALSE
intrinsicDemnsionalityProp,0.09649122807017543,0.13815789473684212,43.18181818181821,0.11599999999999999,FALSE,TRUE,TRUE
