doi,n_tested,n_pairs,min_overlap,median_overlap,max_overlap,verdict
10.1371/journal.pone.0152892,4,6,1,1,1,VERIFIED
10.31219/osf.io/3vd9f_v1,4,6,1,1,1,VERIFIED
10.17605/osf.io/6v5qb,4,6,1,1,1,VERIFIED
10.1371/journal.pone.0229354,4,6,1,1,1,VERIFIED
10.6084/m9.figshare.30195541.v1,4,6,1,1,1,VERIFIED
10.31219/osf.io/vq3ty,4,6,1,1,1,VERIFIED
10.17605/osf.io/8xuhr,4,6,1,1,1,VERIFIED
10.1371/journal.pone.0267175,3,3,1,1,1,VERIFIED
10.1037/pas0001323,4,6,1,1,1,VERIFIED
10.1371/journal.pone.0149202,4,6,1,1,1,VERIFIED
10.1371/journal.pone.0350928,3,3,1,1,1,VERIFIED
10.1037/pas0001344,4,6,1,1,1,VERIFIED
10.1016/j.paid.2025.113343,3,3,1,1,1,VERIFIED
10.1371/journal.pone.0320053,3,3,1,1,1,VERIFIED
10.31234/osf.io/uy9gb_v1,2,1,1,1,1,VERIFIED
10.7910/dvn/zsja25,2,1,1,1,1,VERIFIED
10.1111/jopy.12695,2,1,1,1,1,VERIFIED
10.3389/fpsyg.2022.1014794.s001,2,1,1,1,1,VERIFIED
10.1371/journal.pone.0177758,2,1,0.9978118161925602,0.9978118161925602,0.9978118161925602,VERIFIED
10.1016/j.jcbs.2025.100954,2,1,1,1,1,VERIFIED
