table,dataset,n_items,n_participants,n_categories,n_responses,density,longitudinal,construct_type,ct_primary,affect_cog,item_format,measurement_tool,construct_name,doi,license
psiq_woelk2022,item_response_warehouse,35,735,11,25725,1,FALSE,"Cognitive/educational, Affective/mental health",Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Plymouth Sensory Imagery Questionnaire — Dutch Version (PsiQ-NL),10.1027/1015-5759/a000729,CC BY 4.0
rvkdcs_romiacg_miroshnik_2020_cbi,item_response_warehouse,11,1011,4,11121,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Russian validation of Kaufman Domains of Creativity Scale: Relationship to occupation and measurement invariance across gender,10.17605/osf.io/g5bk4,CC BY 4.0
dbdifdm_puga_2021,item_response_warehouse,14,543,4,7602,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Inventory of Mindfulness,na,LGPL-3.0
facit_yount_2021_hadsx,item_response_warehouse,14,608,4,8512,1,TRUE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Hospital Anxiety and Depression Scale,10.7910/dvn/ibfk5h,CC0 1.0
cavalini_mokken,item_response_warehouse,17,828,4,14076,1,FALSE,Personality,Personality,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Coping with noxious factory odor,na,GPL-3.0
cbi_rodriguez_2021,item_response_warehouse,28,2082,4,58296,1,FALSE,Behavioral,Behavioral,other,Likert Scale/selected response,Survey/questionnaire,Brief Form of Creative Behavior Inventory,10.1080/10400419.2023.2183322,CC BY 4.0
mpsycho_condom,item_response_warehouse,6,500,4,3000,1,FALSE,NA,NA,other,Likert Scale/selected response,NA,Attitude towards condoms,10.1007/s11336-010-9179-z,GPL-2.0
science_ltm,item_response_warehouse,7,392,4,2744,1,FALSE,Opinion/attitude,Opinion/attitude,affective/opinion,Constructed Response,Observational rating,"Euro-barometer 38.1: Consumer Protection and Perceptions of Science and Technology, November 1992",na,GPL-3.0
phq_insomnia_wang2025,item_response_warehouse,9,572095,4,5148855,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,The Patient Health Questionnaire (PHQ-9),10.1177/183449092413107,CC BY 4.0
os_tbmwtfs_schubert_2023_bmw3,item_response_warehouse,12,1038,5,12456,1,FALSE,Cognitive/educational,Cognitive/educational,cognitive,Likert Scale/selected response,Survey/questionnaire,Brief Mind Wandering Three-Factor Scale,10.3758/s13428-024-02500-6,CC BY 4.0
namprb_siwiak_2024_gcbs,item_response_warehouse,15,405,5,6075,1,FALSE,Opinion/attitude,Opinion/attitude,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Generic Conspiracist Beliefs Scale(GCBS),10.31234/osf.io/7u98d,CC BY 4.0
sabers_vesper2023,item_response_warehouse,15,1361,5,20415,1,FALSE,Opinion/attitude,Opinion/attitude,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Strike Attitude and Behavioral Reactions Scale (SABeRS),10.1027/1015-5759/a000807,CC BY 4.0
scoliosis_dueber,item_response_warehouse,20,2322,5,46440,1,FALSE,"Affective/mental health, Physical health/functioning",Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,Scoliosis Quality of Life Index,10.1037/met0000459,CC BY 4.0
aslec_insomnia_wang2025,item_response_warehouse,24,572095,5,13730280,1,FALSE,Affective/mental health,Affective/mental health,affective/opinion,Likert Scale/selected response,Survey/questionnaire,The Adolescent Self-rating Life Events Checklist (ASLEC),10.1177/183449092413107,CC BY 4.0
