feature,irw_min,irw_max,irw_IQR,irw_range,t9_min,t9_max,t9_range,t9_IQR,IRW_IQR_gt_T9_RANGE,IRW_RANGE_gt_T9_RANGE,n_distinct_irw
OverallKurt,-1.5775606788055243,6.894140927588749,0.8209137765299623,8.471701606394273,-1.086,1.214,2.3,0.6950000000000001,FALSE,TRUE,29
OverallRightKurt,-1.9997116420656953,-1.0979802019136726,0.11983733733690438,0.9017314401520227,-2,-0.939,1.061,0.30099999999999993,FALSE,FALSE,29
OverallSD,0.743636513646929,27.258514903161785,0.7557771665575346,26.514878389514855,0.691,2.288,1.597,0.5290000000000001,FALSE,TRUE,29
Skewness,-2.54652921159977,1.1947275970018958,0.3954726404703161,3.741256808601666,-0.081,1.231,1.312,0.547,FALSE,TRUE,29
VarColPC1,2.990933661265984,2143.7942453225105,17.35412791777284,2140.8033116612446,1.336,47.99,46.654,5.685,FALSE,TRUE,29
SkewColPC1,-0.39351835078889447,2.284480243950974,0.46556474811087817,2.6779985947398686,-0.541,1.088,1.629,0.603,FALSE,TRUE,29
SkewColPC2,-0.6231783292132577,0.6431942111642119,0.3400068451815993,1.2663725403774695,-0.648,1.415,2.063,0.522,FALSE,FALSE,29
Mean_Row_Corr,0.05903300880266888,0.7127491791021059,0.1681290929743938,0.653716170299437,0.163,0.727,0.564,0.22300000000000003,FALSE,TRUE,29
Row_Corr_Kurtosis,-0.865760672502244,1.5386099887478828,0.5507148507725281,2.4043706612501268,-0.7,3.239,3.939,0.735,FALSE,FALSE,29
CorrRightKurt,-1.0713947003202713,10.37904494572308,0.7042183188660589,11.450439646043352,-1.025,1.647,2.6719999999999997,0.6619999999999999,FALSE,TRUE,29
Mean_Col_Kurtosis,-1.179543178201421,7.484316485666563,0.84991090877307085,8.663859663867983,-1.426,2.181,3.607,0.412,FALSE,TRUE,29
Mean_SD_Ratio,0.517723582533093,0.9732534766287602,0.07064157083416589,0.45552989409566713,0.516,0.952,0.43599999999999994,0.08200000000000007,FALSE,TRUE,29
intrinsicDemnsionalityProp,0.1111111111111111,0.5,0.09649122807017543,0.3888888888888889,0.2,0.571,0.37099999999999994,0.11599999999999999,FALSE,TRUE,21
PercentOut,0,100,43.333333333333336,100,0,0.048,0.048,0.006,TRUE,TRUE,27
