doi,n_tables,member_tables,total_items,min_n_participants,max_n_participants,n_categories_range,construct_types,n_distinct_construct,id_comparability_verified
10.26439/persona2024.n27(2).7384,12,anunciacao_2025_personality_autonomy;anunciacao_2025_personality_exhibition;anunciacao_2025_personality_dominance;anunciacao_2025_personality_affiliation;anunciacao_2025_personality_deference;anunciacao_2025_personality_change;anunciacao_2025_personality_succorance;anunciacao_2025_personality_achievement;anunciacao_2025_personality_order;anunciacao_2025_personality_nurturance;anunciacao_2025_personality_intraception;anunciacao_2025_personality_persistence,95,272845,272845,7-7,Opinion/attitude,1,not_tested
10.1037/1040-3590.4.1.26,10,bfi_goldberg_1992_openness_to_experience;bfi_goldberg_1992_extraversion;bfi_goldberg_1992_agreeableness;bfi_goldberg_1992_neuroticism;bfi_goldberg_1992_conscientiousness;ffm_ext;ffm_est;ffm_opn;ffm_csn;ffm_agr,100,19719,1015341,5-5,Cognitive/educational;Personality,2,not_tested
10.1027/2698-1866/a000020,8,sabfi2_gallardo_pujol_2018_constru;sabfi2_gallardo_pujol_2018_micro;sabfi2_gallardo_pujol_2018_honest;sabfi2_gallardo_pujol_2018_tight;sabfi2_gallardo_pujol_2018_narq;sabfi2_gallardo_pujol_2018_inthapp;sabfi2_gallardo_pujol_2018_lot;sabfi2_gallardo_pujol_2018_religionscale,73,419,419,4-9,Affective/mental health;Cognitive/educational;NA,3,not_tested
10.1371/journal.pone.0300657,8,alsyouf_2024_openness;alsyouf_2024_conscientiousness;alsyouf_2024_extraversion;alsyouf_2024_neuroticism;alsyouf_2024_continuance_intention;alsyouf_2024_facilitating_conditions;alsyouf_2024_social_influence;alsyouf_2024_agreeableness,80,472,472,5-5,Opinion/attitude;Personality,2,not_tested
10.1371/journal.pone.0259053,7,alsuhibani_2022_pads_s1;alsuhibani_2022_ecrs_s3;alsuhibani_2022_paranoia_s3;alsuhibani_2022_pads_s2;alsuhibani_2022_gcbs;alsuhibani_2022_sers;alsuhibani_2022_loc,97,449,2570,5-7,Affective/mental health;Opinion/attitude;Personality,3,PARTIAL_sub_samples_disjoint
10.31219/osf.io/3vd9f_v1,7,suicide_reinbergs_2025_ghsq;suicide_reinbergs_2025_soss;suicide_reinbergs_2025_stosa;suicide_reinbergs_2025_dssm;suicide_reinbergs_2025_mpfi;suicide_reinbergs_2025_phq;suicide_reinbergs_2025_stig,62,1258,1258,4-7,Affective/mental health;Behavioral;Cognitive/educational;Opinion/attitude,4,not_tested
10.3389/fpsyg.2022.809862,7,algner2022_wis;algner2022_sia;algner2022_psgbi;algner2022_mimi16;algner2022_oss;algner2022_uwes;algner2022_cse,92,500,612,5-7,[untagged],1,not_tested
10.1037/xge0001799,6,pezzuti_2025_coolpeople_main_collectivism_mexico_chile;pezzuti_2025_coolpeople_main_tight_usa_chile;pezzuti_2025_coolpeople_main_collectivism_usa;pezzuti_2025_coolpeople_main_individualism_usa;pezzuti_2025_coolpeople_single-items;pezzuti_2025_coolpeople_benevolent,44,456,5656,7-7,Opinion/attitude,1,not_tested
10.1038/s41598-026-37436-8,6,chakraborty2026_iri_irw;chakraborty2026_ptm_irw;chakraborty2026_bes_irw;chakraborty2026_bspwba_irw;chakraborty2026_bidr_irw;chakraborty2026_iwah_irw,132,634,634,5-5,Affective/mental health;Opinion/attitude;Personality,3,not_tested
10.1177/10731911251319933,6,cf_kay_2025;bcti21_kay_2025;pds_kay_2025;agn_kay_2025;spq_kay_2025;nfc_kay_2025,64,492,492,7-9,Opinion/attitude,1,not_tested
