label,kind,n_persons,n_items,n_categories,affect_cog,dropped_rows,dropped_cols,secs,OverallSD,OverallKurt,OverallRightKurt,VarColPC1,SkewColPC1,SkewColPC2,Skewness,Mean_Row_Corr,Row_Corr_Kurtosis,CorrRightKurt,Mean_Col_Kurtosis,Mean_SD_Ratio,PercentOut,intrinsicDemnsionalityProp,Mean_InterItem_Pearson,Mean_InterItem_Polychoric,Mean_Row_Var,Mean_Col_Var
pppasbpnssedaisw_pedro_2022_panas,single,1620,20,5,affective/opinion,28,0,1.2463912963867188,1.0070442001918092,-1.084249444757521,-1.9398408061899959,2.990933661265984,0.062354171438407255,-0.4199233056308817,0.20752843103416374,0.3807941813372031,-0.03747984406213334,-0.7474769336583522,0.38432611975956915,0.8101020462994919,85,0.3,0.1679851727939591,NA,0.9189652371669915,0.6725539503885191
heard_roch_2022_idss,single,574,12,5,affective/opinion,18,0,0.77468109130859375,1.0141919897937828,0.4042715246421196,-1.8549342260472892,4.583222180669897,0.8113972339564238,-0.4553608162242903,0.978263189184091,0.1727093149269709,-0.4732128508660818,0.007715386157419513,2.2404558197946463,0.9254373832796607,58.333333333333336,0.3333333333333333,0.3204175063208992,0.375864343916136,0.7425298278956816,0.9154504989328128
agn_kay_2025,single,488,8,7,affective/opinion,4,0,0.6803994178771973,1.8973978091291581,-1.166258354058607,-1.8715986123884611,8.618267495149226,0.11407741856131401,-0.24533566180770502,-0.07962312639136196,0.14817505619698285,-0.5591135032754098,-0.5388419823493451,-0.8870003346689761,0.9448736320305278,12.5,0.5,0.220396167059805,0.24484643677175308,2.9377927400468384,3.2240423132595013
psychotools_gratitude_gart,single,1333,16,9,affective/opinion,11,0,0.5173912048339844,2.403943652779827,-0.6198935514649011,-1.9988635144548073,23.380189745942104,-0.25433940488390516,-0.17209010493318844,-0.5829087200985421,0.16788000298390002,-0.468475867236684,-0.3511153218209935,-0.27717864377302515,0.9183864890345353,37.5,0.25,0.19616647837607745,NA,4.889331707926981,5.010592808675142
autism_blotner_2025_s2_qcae,single,529,31,4,cognitive,6,0,2.2736477851867676,0.8353021493086228,-0.34158726527211636,-1.2478332641384087,4.826193558434853,-0.37636172215799507,0.6431942111642119,-0.4076663908546606,0.2243781031074942,-0.4377248138018026,-0.07919487619502918,-0.059775457991214205,0.8951092422599516,58.06451612903226,0.2903225806451613,0.16477322585349471,0.19929751654114775,0.6165579201983861,0.5630604785583747
test_taking_much_2025_cm,single,987,9,101,cognitive,257,0,0.15198969841003418,18.935458559453323,6.894140927588749,-1.1491749913415452,2143.7942453225105,2.284480243950974,0.1083651667002114,-2.54652921159977,0.07037130429935697,-0.6744569394251578,-0.6965029327086394,7.484316485666563,0.9586190160237866,100,0.1111111111111111,0.6125041220578551,NA,156.54280648429585,345.45320219878937
prpt_hellmann_2021_fearofcrime,single,1123,10,5,affective/opinion,293,0,0.7014901638031006,0.93144380319764,0.1824971715880599,-1.0979802019136726,4.468003269124939,0.729476599399329,-0.37309247415681585,0.707739293987856,0.05903300880266888,-0.6604818787627584,-0.47992688601496614,0.11747370142094331,0.9732534766287602,60,0.3,0.4637701918157429,0.527792543126132,0.4895616899178787,0.8403075858368928
imos_2002,single,455,6,8,cognitive,24,0,0.4861130714416504,2.854775430318086,-1.2896019668664223,-1.6414555615288768,18.15795611869483,-0.0591751548732299,-0.06317680942675262,0.6848079451622294,0.3692675481054762,-0.6522821907759018,-0.9985544375800015,4.7727782986583795,0.8066471063207433,50,0.5,0.3162082019993249,0.46810477887333635,6.840512820512821,5.9577431379193495
bscs_fadplus_goto2021,single,800,13,5,affective/opinion,2,0,0.8643202781677246,1.1481188508631968,-0.8968354746036189,-1.8741327938875116,5.7398438109319025,-0.019275244697600582,-0.13599596589657315,-0.10389155781914416,0.136920778975328,-0.4280582363061103,-0.37943199768414004,-0.6499251531347416,0.9417595962690127,30.76923076923077,0.3076923076923077,0.0818935377520485,0.09145475482716021,1.223349358974359,1.1748878405699432
gbjw_fadplus_goto2021,single,787,7,6,cognitive,15,0,0.5005714893341064,1.1959866234916001,-0.6550131770717069,-1.9853438790724303,3.3457393975338623,-0.05137628720507153,0.19922501446740862,-0.10983687483617728,0.346909839695673,-0.10338975732622391,-0.9500035490062082,0.027039087341591994,0.8801743075448272,100,0.42857142857142855,0.3279667421276632,0.362559434490669,1.121982210927573,1.1105205130443498
mindfulness_assessment,single,519,39,5,cognitive,2,0,5.975013256072998,1.1797149623663703,-0.8330673022596189,-1.966515899425048,11.533265392512396,0.18108829330701676,-0.13824595781361645,-0.22905982542704462,0.15376664652048902,-0.3353157044964794,0.05087742658740435,-0.5569620021274921,0.9226835372716975,35.8974358974359,0.23076923076923078,0.07590322516969035,0.08658395700103697,1.3015479264338405,1.1960011208566121
short_dark_triad,single,1957,27,5,affective/opinion,1,0,3.821762800216675,1.3220745397621576,-1.1372927074776114,-1.9976708543016284,12.603192614976072,0.08318051437133493,-0.0409606515152854,-0.23968560910184972,0.18914830319597434,-0.12840374675504718,0.14406706540654124,-0.5786971702257755,0.9138051785558191,29.629629629629626,0.2962962962962963,0.15888198896146294,0.18548119894246426,1.538764345100574,1.4778905678324994
anxiety_gastro_symptoms,single,364,15,5,affective/opinion,18,0,1.0770435333251953,1.3916736980639515,-1.414518221651003,-1.9893650451742408,13.183361133552463,0.15098593309639768,0.22942004063899363,0.07432286178288675,0.19595511830443785,-0.2555548066129276,0.23407531920369795,-1.0275855105201581,0.9375823715514106,13.333333333333334,0.2,0.45900133288757244,0.5356139423347026,1.1667189952904238,1.7089703226066864
