table,N,n_items,method,secs,k,k_substantive,largest_prop,revkey_eta2
disgust_berger2014,500,25,"RCA (Goldberg, bootstrap num=1000)",81.77809834480286,2,2,0.666,0.39053597666595535
disgust_berger2014,500,25,CCA (corclass),0.099473237991333,4,3,0.336,0.3446827653477667
disgust_berger2014,500,25,Recursive Relationality (paper's pick),130.10227179527283,4,4,0.338,0.370198800657284
heard_roch_2022_idss,574,12,"RCA (Goldberg, bootstrap num=1000)",28.38233494758606,10,6,0.2857142857142857,0.310211839204172
heard_roch_2022_idss,574,12,CCA (corclass),0.14139747619628906,18,6,0.27177700348432055,0.11205498819155178
heard_roch_2022_idss,574,12,Recursive Relationality (paper's pick),9.486425876617432,4,4,0.3240418118466899,0.06632234618219612
heard_roch_2022_idss,500,12,"RCA (Goldberg, bootstrap num=1000)",23.081618547439575,10,4,0.426,0.3683238887267174
heard_roch_2022_idss,500,12,CCA (corclass),0.11239838600158691,20,7,0.266,0.14306597350371283
heard_roch_2022_idss,500,12,Recursive Relationality (paper's pick),7.030941486358643,5,5,0.286,0.05789535802783034
hexaco_ashton_2014_h,500,40,"RCA (Goldberg, bootstrap num=1000)",200.84486389160156,10,3,0.428,0.10800666279095804
hexaco_ashton_2014_h,500,40,CCA (corclass),0.1891169548034668,3,3,0.44,0.15447856479796496
hexaco_ashton_2014_h,500,40,Recursive Relationality (paper's pick),834.961748123169,4,4,0.318,0.6110681621468717
MERGED_jablonska_2020,500,46,"RCA (Goldberg, bootstrap num=1000)",263.3889091014862,11,5,0.258,0.5102127880689377
MERGED_jablonska_2020,500,46,CCA (corclass),0.2027373313903809,8,2,0.52,0.01397950243915607
MERGED_jablonska_2020,500,46,Recursive Relationality (paper's pick),NA,NA,NA,NA,NA
pppasbpnssedaisw_pedro_2022_panas,500,20,"RCA (Goldberg, bootstrap num=1000)",54.85385036468506,35,3,0.41,0.11664028533919124
pppasbpnssedaisw_pedro_2022_panas,500,20,CCA (corclass),0.21836376190185547,9,3,0.436,0.13867973050741142
pppasbpnssedaisw_pedro_2022_panas,500,20,Recursive Relationality (paper's pick),50.89049577713013,3,3,0.412,0.11451365288764756
short_dark_triad,500,27,"RCA (Goldberg, bootstrap num=1000)",95.58459329605104,7,4,0.29,0.30080376566558953
short_dark_triad,500,27,CCA (corclass),0.12968134880065918,3,3,0.494,0.6243110558151393
short_dark_triad,500,27,Recursive Relationality (paper's pick),NA,NA,NA,NA,NA
