"table","status","n_items","n_persons","n_rows","dup_id_item_rows","n_complete_persons","rowsum_cv"
"tears","ok",11,72,24019,792,72,0.248
"klippel_irw","ok",36,32,1152,0,32,0.098
"nas_rogoza_2024_study5_nas","ok",4,317,38040,1268,208,1.234
"nas_rogoza_2024_study5_ngs","ok",4,317,38040,1268,221,0.837
"nas_rogoza_2024_study5_nvs","ok",4,317,38040,1268,213,0.915
"emoji_scheffler_2024","ok",5,107,16370,535,107,0.818
"opentsstvr_linnig_2025_vas","ok",7,98,7154,686,96,0.369
"ai_fear_dong_2026_ai","ok",48,10000,480000,0,10000,0.296
"ai_fear_dong_2026_requirement","ok",48,10000,480000,0,10000,0.196
"ai_fear_dong_2026_own_fear","ok",48,10000,480000,0,10000,0.431
"ai_fear_dong_2026_other_fear","ok",48,10000,480000,0,10000,0.397
"westhoff2023_stopd","ok",5,113,54665,565,113,0.862
"westhoff2023_pbat","ok",18,113,196794,2034,113,0.13
"ehealth_rioux_2025_triplep","ok",14,318,4495,56,317,0.263
"ehealth_rioux_2025_beam","ok",14,318,4507,56,317,0.262
"ehealth_rioux_2025_abiliti","ok",14,318,4507,56,317,0.231
"gilbert_meta_95","ok",12,115,2760,1380,115,0.237
"thomeczek2025_les","ok",20,16,3661,320,16,0.223
"double_marking_steele_2022","ok",6,288,3339,1611,288,0.205
"mclaughlin_samuel_2025_auditory_session_1","ok",1,251,251,0,251,NA
