"table","n_items","n_persons","dup_id_item","n_complete","rowsum_cv"
"tears_stimP10_Neutral_phase1",11,1,11,1,NA
"nas_rogoza_2024_study5_nas_wave1",4,317,4,277,1.585
"nas_rogoza_2024_study5_ngs_wave1",4,317,4,274,1.05
"nas_rogoza_2024_study5_nvs_wave1",4,317,4,278,1.321
"emoji_scheffler_2024_rater1",5,21,0,21,0.209
"opentsstvr_linnig_2025_vas_wave1",7,98,336,98,0.308
"westhoff2023_stopd_wave1",5,109,0,109,0.775
"westhoff2023_pbat_wave1",18,109,0,109,0.128
"gilbert_meta_95_wave1",12,115,0,115,0.237
"much_tte_2025_currentmotivation_wave1",3,1244,0,1244,0.131
"double_marking_steele_2022_rater1",6,8,18,8,0.187
"thomeczek2025_les_rater204",20,6,0,6,0.046
