"group_key","anchor","tables","k","items_total","items_min","n_min","n_max","same_n","cells_est","eligible","score"
"doi:10.1177/10731911251319933","act_kay_2025","act_kay_2025|bcti21_kay_2025|spq_kay_2025|den_kay_2025|nfc_kay_2025|cmq_kay_2025|gcb5_2025|cf_kay_2025|agn_kay_2025|pds_kay_2025|gmc_kay_2025|onecm_kay_2025",12,88,1,492,492,TRUE,43296,TRUE,14.1052984361007
"doi:10.1371/journal.pone.0300657","alsyouf_2024_social_influence","alsyouf_2024_social_influence|alsyouf_2024_management_support|alsyouf_2024_facilitating_conditions|alsyouf_2024_conscientiousness|alsyouf_2024_end_user_support|alsyouf_2024_effort_expectancy|alsyouf_2024_agreeableness|alsyouf_2024_neuroticism|alsyouf_2024_extraversion|alsyouf_2024_openness|alsyouf_2024_continuance_intention|alsyouf_2024_performance_expectancy",12,98,4,472,472,TRUE,46256,TRUE,14.0206086653008
"doi:data doi: 10.6084/m9.figshare.26820745.v4","jeilani_2024_academic_stress","jeilani_2024_academic_stress|jeilani_2024_personal_growth|jeilani_2024_psychological_wellbeing|jeilani_2024_proactivity|jeilani_2024_social_support_family|jeilani_2024_self_efficacy|jeilani_2024_social_anxiety|jeilani_2024_social_outcomes|jeilani_2024_social_support|jeilani_2024_emotional|jeilani_2024_purpose_in_life",11,37,2,663,663,TRUE,24531,TRUE,13.5748468617381
"bib:@misc{Survey_of_Political_Culture_ECP_2023,
  title = {Survey of Political Culture - ECP - 2023},
  url = {https://microdatos.dane.gov.co/index.php/catalog/822/get-microdata},
  note = {Accessed: 2023}
}","colombia_2023_politics_media","colombia_2023_politics_media|colombia_2023_politics_protection|colombia_2023_politics_prevention|colombia_2023_politics_spaces|colombia_2023_politics_risks|colombia_2023_politics_procedures|colombia_2023_politics_meaning|colombia_2023_politics_organizations",8,73,6,46392,46392,TRUE,3386616,TRUE,12.1797764290735
"doi:10.6084/m9.figshare.28768874.v1","okeke2025_decision_confidence_pre","okeke2025_decision_confidence_pre|okeke2025_decision_accuracy|okeke2025_adaptability|okeke2025_cognitive_agility_post|okeke2025_risk_mitigation|okeke2025_ai_usefulness_pre|okeke2025_ai_usefulness_post|okeke2025_cognitive_agility_pre|okeke2025_decision_confidence_post|okeke2025_response_time",10,32,3,200,200,TRUE,6400,TRUE,12.0876966623306
"bib:@misc{Encuesta_TIC,
  title = {Encuesta de Usos de las Tecnologías de la Información y las Comunicaciones},
  howpublished = {\url{https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata}},
  note = {Accessed: 2023-10-01}
}","uruguay_2022_technology_devices","uruguay_2022_technology_devices|uruguay_2022_technology_govperception|uruguay_2022_technology_transactions|uruguay_2022_technology_entertainment|uruguay_2022_technology_safety|uruguay_2022_technology_barriers|uruguay_2022_technology_ownership|uruguay_2022_technology_information|uruguay_2022_technology_streaming",9,80,3,2562,2562,TRUE,204960,TRUE,11.8752457920753
"doi:10.1371/journal.pone.0318449","singh_2025_identity_gi","singh_2025_identity_gi|singh_2025_identity_pba|singh_2025_identity_irs|singh_2025_identity_grit|singh_2025_identity_pia|singh_2025_identity_pss|singh_2025_identity_pit|singh_2025_identity_pds|singh_2025_identity_cse",9,76,4,1470,1470,TRUE,111720,TRUE,11.6606506680815
"doi:10.31219/osf.io/3vd9f_v1","suicide_reinbergs_2025_stosa","suicide_reinbergs_2025_stosa|suicide_reinbergs_2025_ghsq|suicide_reinbergs_2025_gad|suicide_reinbergs_2025_mpfi|suicide_reinbergs_2025_soss|suicide_reinbergs_2025_stig|suicide_reinbergs_2025_sbqr|suicide_reinbergs_2025_dssm|suicide_reinbergs_2025_phq",9,68,2,1258,1258,TRUE,85544,TRUE,11.6463473077759
"doi:10.3389/fpsyg.2020.590276","pellerin2020_cpc_selfefficacy","pellerin2020_cpc_selfefficacy|pellerin2020_mwbs_gratbeing|pellerin2020_gq6|pellerin2020_mwbs_pd|pellerin2020_serenity_acceptance|pellerin2020_asti|pellerin2020_cpc_hope|pellerin2020_3dws|pellerin2020_cpc_optimism",9,53,3,674,674,TRUE,35722,TRUE,11.475326563202
"bib:@misc{bidat_dataset_2023,
  title = {Dataset from BiDAT},
  url = {https://bidat.gob.cl/details/ficha/dataset/f80237f5-9231-40d1-a1f1-ed93751dc2ac},
  year = {2023},
  note = {Accessed: 2023-10-01}
}","chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a|chile_2023_social-welfare-survey_u|chile_2023_social-welfare-survey_ss|chile_2023_social-welfare-survey_h|chile_2023_social-welfare-survey_oo|chile_2023_social-welfare-survey_yy|chile_2023_social-welfare-survey_ee|chile_2023_social-welfare-survey_vv",8,114,5,11234,11234,TRUE,1280676,TRUE,11.2905344195401
