vignette	date_run	basis	irw_version	bracketed	shards_reconstructed	approximate	n_versions_that_day
2pl_across_datasets	2026-04-24	date_run	243	FALSE	TRUE	FALSE	0
asymmetric_irt	2026-07-23	date_run	265	FALSE	TRUE	FALSE	0
cfa		live		FALSE	FALSE	FALSE	
continuous_bounded	2026-08-26	git	301	FALSE	FALSE	TRUE	0
dimensionality	2026-08-25	date_run	301	FALSE	FALSE	FALSE	1
dutch_identity	2026-05-19	date_run	247	FALSE	TRUE	FALSE	0
gender_dif	2026-07-16	git	264	FALSE	TRUE	TRUE	4
hf_reliability_paradox	2026-07-17	date_run	265	FALSE	TRUE	FALSE	1
il_hte	2026-05-20	date_run	248	FALSE	TRUE	FALSE	1
imv		live		FALSE	FALSE	FALSE	
irt_python		live		FALSE	FALSE	FALSE	
item_text_difficulty	2026-05-05	date_run	247	FALSE	TRUE	FALSE	0
local_dependence	2026-07-21	date_run	265	FALSE	TRUE	FALSE	0
lsirm_interaction_maps	2026-07-23	date_run	265	FALSE	TRUE	FALSE	0
network_psych	2026-08-10	date_run	283	FALSE	TRUE	TRUE	3
rt_imv	2026-05-20	date_run	248	FALSE	TRUE	FALSE	1
